<Ticker>,Date,OpenFixed,HighFixed,LowFixed,CloseFixed,Volume
^BDS,20150304,429.6000,432.2000,422.7900,428.1100,428737
^BDS,20150305,428.1100,429.2100,420.5000,424.4200,342971
^BDS,20150306,424.4200,425.8900,416.6000,418.0000,550257
^BDS,20150309,418.0000,422.7300,414.3300,415.6500,345930
^BDS,20150310,415.6500,417.7900,412.8800,415.7100,347451
^BDS,20150311,415.7100,415.8500,410.3300,412.0300,328190
^BDS,20150312,412.0300,417.4400,411.1200,414.9900,337876
^BDS,20150313,414.9900,417.7400,413.0700,415.0800,226939
^BDS,20150316,415.0800,416.3100,408.8000,411.8200,584878
^BDS,20150317,411.8200,413.8400,410.2500,412.2400,235194
^BDS,20150318,412.2400,413.3700,410.1800,411.6800,261509
^BDS,20150319,411.6800,413.5300,407.3700,409.4100,284761
^BDS,20150320,409.4100,411.1100,405.4600,406.9000,899197
^BDS,20150323,406.9000,410.5900,402.2800,403.5500,277429
^BDS,20150324,403.5500,404.6900,400.5900,403.5800,386198
^BDS,20150325,403.5800,405.2700,401.8400,403.3100,262737
^BDS,20150326,403.3100,403.9900,397.9800,398.4200,227174
^BDS,20150327,398.4200,404.5300,394.4200,395.5300,388783
^BDS,20150330,395.5300,397.2500,389.9300,390.6800,354957
^BDS,20150331,390.6800,395.6600,390.1500,394.3100,259716
^BDS,20150401,394.3100,394.8900,385.8800,386.1500,213658
^BDS,20150402,386.1500,390.6500,384.9100,389.8700,197889
^BDS,20150403,389.8700,390.5400,387.6300,388.4400,131889
^BDS,20150406,388.4400,390.3100,386.7000,387.0000,184846
^BDS,20150407,387.0000,391.1100,385.3300,390.4300,249030
^BDS,20150408,390.4300,392.3700,388.2300,389.4800,234813
^BDS,20150409,389.4800,395.9800,388.8900,391.9100,282480
^BDS,20150410,391.9100,405.7500,391.6200,401.9600,428417
^BDS,20150413,401.9600,410.5600,400.2900,407.5400,544805
^BDS,20150414,407.5400,408.9300,399.6800,400.1800,184519
^BDS,20150415,400.1800,404.1000,395.8600,401.0700,190338
^BDS,20150416,401.0700,409.3000,400.0700,406.1700,309277
^BDS,20150417,406.1700,415.1400,404.7300,410.0200,413906
^BDS,20150420,410.0200,411.7300,406.4300,408.2100,321323
^BDS,20150421,408.2100,411.0800,405.0400,406.0300,244143
^BDS,20150422,406.0300,408.6500,404.1500,405.1900,277496
^BDS,20150423,405.1900,408.8100,402.5300,405.5000,246308
^BDS,20150424,405.5000,408.0700,404.2900,406.0300,134051
^BDS,20150427,406.0300,407.6200,401.9500,402.7300,144736
^BDS,20150504,402.7300,404.4600,376.9400,396.3000,572032
^BDS,20150505,396.3000,403.2800,393.4500,402.6700,295635
^BDS,20150506,402.6700,403.0600,395.6800,396.4200,120112
^BDS,20150507,396.4200,402.5700,395.3900,401.9300,153572
^BDS,20150508,401.9300,403.2100,399.5300,400.6500,84663
^BDS,20150511,400.6500,402.8200,397.1400,398.3800,128453
^BDS,20150512,398.3800,400.0900,389.4600,393.5800,236622
^BDS,20150513,393.5800,395.0000,387.3900,392.9600,239072
^BDS,20150514,392.9600,394.5700,390.4300,393.0600,66598
^BDS,20150515,393.0600,396.8100,388.9000,389.6300,262808
^BDS,20150518,389.6300,391.1400,382.8400,383.2100,531783
^BDS,20150519,383.2100,388.0600,382.9500,387.1000,261666
^BDS,20150520,387.1000,397.0700,386.3800,392.9000,289643
^BDS,20150521,392.9000,396.8900,390.3400,393.7500,182154
^BDS,20150522,393.7500,404.5700,391.0500,403.8900,403755
^BDS,20150525,403.8900,404.8900,396.6200,402.0900,170826
^BDS,20150526,402.0900,406.9000,399.7300,401.9200,333668
^BDS,20150527,401.9200,405.5500,399.1200,400.3900,278042
^BDS,20150528,400.3900,402.5700,397.4400,398.7500,266406
^BDS,20150529,398.7500,402.7400,395.8700,396.9100,315691
^BDS,20150601,396.9100,408.9400,395.8900,404.1000,402235
^BDS,20150602,404.1000,406.2900,398.1500,398.9600,203978
^BDS,20150603,398.9600,403.6600,397.9500,400.9200,287593
^BDS,20150604,400.9200,407.1500,400.2900,405.2500,496220
^BDS,20150605,405.2500,409.4500,403.4000,406.0500,352625
^BDS,20150608,406.0500,412.5900,405.2000,408.1700,372156
