<Ticker>,Date,OpenFixed,HighFixed,LowFixed,CloseFixed,Volume
^DAUKHI,20180619,558.7400,559.0200,520.9000,543.4500,1912206
^DAUKHI,20180620,543.4500,563.1400,532.7000,562.3600,652890
^DAUKHI,20180621,562.3600,563.0500,544.5000,548.6000,570761
^DAUKHI,20180622,548.6000,562.9000,539.1700,558.4100,1011455
^DAUKHI,20180625,558.4100,579.1500,557.6600,563.1800,764150
^DAUKHI,20180626,563.1800,563.1800,547.0600,556.7600,576177
^DAUKHI,20180627,556.7600,569.4600,552.4000,555.5000,1072013
^DAUKHI,20180628,555.5000,560.0100,543.7600,548.9400,749301
^DAUKHI,20180629,548.9400,558.2800,540.9800,552.9000,692309
^DAUKHI,20180702,552.9000,555.8600,528.1700,549.3600,936684
^DAUKHI,20180703,549.3600,550.3900,518.3300,519.5100,984619
^DAUKHI,20180704,519.5100,529.5200,497.7100,506.9600,1203963
^DAUKHI,20180705,506.9600,512.7400,476.6400,480.5800,1034350
^DAUKHI,20180706,480.5800,506.8600,462.7200,502.1700,797016
^DAUKHI,20180709,502.1700,525.2800,499.7600,502.4700,822547
^DAUKHI,20180710,502.4700,518.6600,497.5300,499.3200,972174
^DAUKHI,20180711,499.3200,499.6100,473.2400,485.2600,1060476
^DAUKHI,20180712,485.2600,493.6500,472.7600,486.5800,406556
^DAUKHI,20180713,486.5800,502.9900,486.3700,498.4400,502914
^DAUKHI,20180716,498.4400,507.1600,491.6200,498.6100,413799
^DAUKHI,20180717,498.6100,500.6300,482.5100,490.2500,501000
^DAUKHI,20180718,490.2500,515.8300,488.7000,514.4700,1035781
^DAUKHI,20180719,514.4700,534.3000,513.2400,523.9300,1049474
^DAUKHI,20180720,523.9300,526.9100,512.1200,515.9300,668288
^DAUKHI,20180723,515.9300,533.1000,510.9600,522.3800,908761
^DAUKHI,20180724,522.3800,529.2600,507.1600,519.1600,969398
^DAUKHI,20180725,519.1600,528.6000,513.3600,514.4000,632167
^DAUKHI,20180726,514.4000,521.2700,506.4800,510.5200,423196
^DAUKHI,20180727,510.5200,525.7900,510.0900,518.3300,684298
^DAUKHI,20180730,518.3300,534.6100,515.5100,533.8700,964832
^DAUKHI,20180731,533.8700,553.0500,529.3700,542.1500,1007666
^DAUKHI,20180801,542.1500,562.1700,538.3300,551.7300,1560723
^DAUKHI,20180802,551.7300,568.4400,547.1700,565.4900,1703950
^DAUKHI,20180803,565.4900,592.0600,565.3000,581.5500,1861976
^DAUKHI,20180806,581.5500,600.2200,573.8100,591.3500,1631303
^DAUKHI,20180807,591.3500,593.2600,574.9200,577.9800,1176327
^DAUKHI,20180808,577.9800,599.4000,576.0800,596.8500,1554442
^DAUKHI,20180809,596.8500,607.7100,587.5800,598.7200,1507428
^DAUKHI,20180810,598.7200,605.6000,590.0400,603.4200,1129397
^DAUKHI,20180813,603.4200,625.8700,592.9800,621.2200,1292813
^DAUKHI,20180814,621.2200,624.0700,604.8900,612.2500,1136335
^DAUKHI,20180815,612.2500,617.8900,579.6100,580.7500,1659496
^DAUKHI,20180816,580.7500,591.2900,553.0300,581.1800,1710740
^DAUKHI,20180817,581.1800,594.3300,578.3000,584.9400,637093
